mcnode;description;mc_func;from_variable;transformation;sensi_analysis;param_type
visit_cleaning;Are boots and equipment clean and disinfected when entering the farm?;;;"ifelse(value==""always"",1,ifelse(value==""sometimes"",0.5,ifelse(value==""never"",0,as.numeric(value))))";FALSE;user_p
visit_cleaning_p;Percentage of times boots and equipment are clean and disinfected when entering the farm;rpert;;;FALSE;user_p
visit_time_between;Time between visits (from visit to other cattle to visit to this farm);rpert;;;TRUE;visit
visit_close;Can visits be in areas used by farm animals? - Does the driver help to load the animals?;;;;FALSE;user_p
visit_direct;Can visits enter in direct contact with animals?;;;;FALSE;user_p
visit_frequency;Visit frequency;;;"ifelse(value==""daily"",1,ifelse(value==""weekly"",7,ifelse(value==""monthly"",30,ifelse(value==""few"",90,ifelse(value==""rare"",360,as.numeric(value))))))";FALSE;user_n
risk_days;Days at risk;;;;FALSE;user_n
visit_farms_n;Number of farms a visit (person or vehicle) visits per day;rpert;;;TRUE;visit
visit_animals_n;Number of livestock contacted in previous farm visit;rpert;;;TRUE;visit
animal_category_p;Proportion of animals of each category;;;;FALSE;user_p
neighbour_direct; Is it possible for your livestock to have direct contact with livestock on neighbouring farms? ;;;;FALSE;user_p
neighbour_n; Number of cattle farms in 1-2 km radius;;;;FALSE;user_n
neighbour_farms;Are there other cattle farms within a 1-2km radius?;;;;FALSE;user_p
wildlife_prev;Prevalence of pathogen in wildlife;rpert;;;TRUE;prevalence
contact_rate_livestock;Rate (visits/day) at which livestock visits riskpoints;runif;;;TRUE;riskpoint
contact_rate_wildlife;Rate (visits/day) at which wildlife visits riskpoints;runif;;;TRUE;riskpoint
access;Do the farm animals have access to outdoors areas/pasture?;;;;FALSE;user_p
fencing_perimeter;Does the farm have a complete perimeter fence?;;;;FALSE;user_p
fencing_wildlife;Can terrestrial wildlife access the farm?;;;;FALSE;user_p
mud_p;Proportion of mud/soil/organic contact surface;;;;FALSE;user_p
contact_point_p;What percentage of the time do the cows use each type of water point? ;;;;TRUE;riskpoint
contact_point_ratio;"Relationship between the expected number of ""contact points"" (e.g. drinking points) and the size of the herd (in LSU).";;;;TRUE;riskpoint
livestock_units;Animal aggregation reference unit based on feed requirements (Eurostat LSU);;;;FALSE;riskpoint
contact_point_access_wildlife;Probability that wildlife will be able to access the contact point;;;;TRUE;riskpoint
density_index;Index aggregating the proportion of animal density levels in wildlife region (not used, just to solve bug #117);;;;FALSE;riskpoint
pasture_other_farm_n;Number of farms the pasture is shared with;;;;FALSE;user_n
pasture_own_farm_n;User farm to pasture (1);;;;FALSE;user_n
pasture_other_animals_n;Number of animals per farm the pasture is shared with (purchase_cattle_n/purchase_fams_n);;;;FALSE;user_n
pasture_own_animals_n;Number of animals from the farm taken to the pasture;;;;FALSE;user_n
pasture_cattlebull;Do you or any of the other farms take bulls to the pasture?;;;;FALSE;user_p
pasture_share;Is the pasture shared with cattle from other farms?;;;;FALSE;user_p
pasture_risk_days;Days in pasture (days at risk per pasture movement);;;;FALSE;user_n
mov_other_farm_n;Number of farms the recurrent site is shared with;;;;FALSE;user_n
mov_own_farm_n;User farm to recurrent site (1);;;;FALSE;user_n
mov_other_animals_n;Number of animals per farm the recurrent site is shared with (purchase_cattle_n/purchase_fams_n);;;;FALSE;user_n
mov_own_animals_n;Number of animals from the farm taken to the recurrent;;;;FALSE;user_n
site_bulls;Do you or any of the other farms take bulls to the recurrent site?;;;;FALSE;user_p
site_share;Is the site shared with cattle from other farms?;;;;FALSE;user_p
recurrent_days;Days in recurrent site (days at risk per recurrent movement);;;;FALSE;user_n
mov_round;Is it a round movement?;;mov_type;"value==""round""";FALSE;user_p
mov_frequency;Movement annual frequency (times/year);;;;FALSE;user_n
mov_recurrent;Is a recurring movement?;;mov_recurrent;"value==""recurrent""";FALSE;user_p
