"";"key";"type";"factor";"lit";"lit_esp"
"102";"f";"level";"pasture_id";"🍁 Pasture F";NA
"103";"g";"level";"pasture_id";"🍃 Pasture G";NA
"104";"h";"level";"pasture_id";"🏞️ Pasture H";NA
"105";"i";"level";"pasture_id";"⛰️ Pasture I";NA
"106";"j";"level";"pasture_id";"🌄 Pasture J";NA
"107";"low";"level";"waterpoints";"Low waterer (<90cm)";NA
"108";"high";"level";"waterpoints";"High waterer (>90cm)";NA
"109";"waterhole";"level";"waterpoints";"Waterhole";NA
"110";"river";"level";"waterpoints";"River";NA
"111";"stream";"level";"waterpoints";"Stream (seasonal flow)";NA
"112";"Salmpos";"level";"health_status";"Salmonella+";"NA"
"113";"Salmneg";"level";"health_status";"Salmonella-";"NA"
